job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Data Scientist,Behaviour Interactive,"Montréal, QC",,Designing experiments (A/B tests) to estimate the effect of  informed initiatives on key metrics and provide recommendations.,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ba86700ea3696cc7&fccid=6a91dec9c4af51bf&vjs=3
Data Scientist,CI Investments Inc,"Toronto, ON",,"Previous experience with cloud  storage is an asset.,Familiarity working with  preparation tools like Talend is an asset.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=54cbf95e53d58d0d&fccid=e981b35e4c0452a3&vjs=3
Deep Learning Engineer,Deeplite Inc,"Montréal, QC",,"Strong working knowledge of deep learning, and experience utilizing theoretical and empirical research to solve real-world problems.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=190ea1fc65aa4670&fccid=187ebc2d25d59123&vjs=3
"BI, Analytics and Big Data Manager - Consulting",Quebec en Mexico,"Quebec City, QC",,"Nous sommes à la recherche d’un(e) gestionnaire BI, Analytique et Big  pour rejoindre notre équipe de conseillers en analytique avancée et travailler sur…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=fb3f6ac7de97b6ee&fccid=942c4ec626ccb63b&vjs=3
"Deep Learning and Embedded Software Engineer, Entry Level",NXP Semiconductors,"Kanata, ON",,"Evaluating state of the art deep learning and autonomous drive algorithms from perception to planning.,Embedded software development for applications, demos,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=65e1eea137b788a9&fccid=d113f5fdf3e1cb7b&vjs=3
"Senior Data Scientist (Quebec City), Intact Lab",Intact,"Quebec City, QC",,"Help maintain our  mining tools and platforms.,Your Master’s degree in a relevant discipline (mathematics, , engineering, operational research,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=44ba72036c5ce11a&fccid=be7195d2ebb48351&vjs=3
Senior Data Analyst,Lightspeed POS,"Montréal, QC",,Monitor existing  assets and timely fix errors and/or communicate with appropriate squads to insure the highest quality data.,19 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ff68fe3b0da4e0c8&fccid=d7b4244b532e625b&vjs=3
Outils de programmation pour la science des données,Université du Québec à Chicoutimi,Canada,,,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9a1bad45a9afa26e&fccid=51d6192abd12d201&vjs=3
Data Scientist,Softvision,"Vancouver, BC",,"Clear understanding of logical and physical database design and data.,We marry design and engineering language in ways that produce impactful and memorable…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=628895274bc040d9&fccid=bc6d68ab22143afb&vjs=3
"Machine Learning, Data Analytics and AI Researcher",Hitachi ABB Power Grids,"Quebec City, QC",,"Identify and validate business propositions (e.g. increased safety, robustness, maintainability, etc.).,Create research ideas and proposals, secure buy-in from…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=24aff572b8f8429d&fccid=7f069240a8f0d436&vjs=3
Senior Data Analyst,Shaw Communications,"Calgary, AB",,"Design and develop  solutions that summarize and transform  from various  sources into understandable, actionable information.",10 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=70bee6cf3f4b5d1a&fccid=0261b4753802fd26&vjs=3
Senior Data Scientist,Loblaw Companies Limited,"Brampton, ON",,"Increase internal adoption of test design and best practices for machine learning and   development.,Work effectively in cross-functional teams.",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ebcfb0e96a63d342&fccid=bc30630cfcc120d4&vjs=3
Venez rejoindre une équipe dynamique à Statistique Canada,Statistique Canada,Canada,"$47,729 - $72,660 a year","AS-01, AS-02, AS-03, AS-04, CR-04, CR-05.,La durée des fonctions (permanent et temporaire).,Nous nous investissons pour vous aider à developper votre carrière.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a0add31bc5ecf7ae&fccid=015fab4acc81b466&vjs=3
Assistant Professor - Data Science Computation,University of Toronto,"Toronto, ON",,The Department of Statistical  in the Faculty of Arts and  at the University of Toronto invites applications for a full-time tenure stream…,21 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0e5a7be608e27ba3&fccid=986361104086c3ae&vjs=3
Scientifique de données,Optel Group,Remote,,"Capacité à utiliser des techniques avancées de la  des données, de la collecte à l’analyse.,Aider à maintenir nos outils et plateformes de  Mining.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f72d588e4b835747&fccid=635882e9e2e9b710&vjs=3
"Data Scientist, People Analytics",Restaurant Brands International,"Toronto, ON",,"Stay abreast and incorporate emerging trends from   and technology research.,Leverage existing  sources, identify and mine  from new sources,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=2b939cadc0e1d67e&fccid=1bf77f1dd2c2631f&vjs=3
Applied Scientist (Remote),Yelp,Remote,,"Experience with  analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.).",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=424f8a059094a685&fccid=0e94073a1c937bd1&vjs=3
Data Scientist,Canada Drives,"Vancouver, BC",,"2+ years experience in applying analytics,  engineering or  science.,Experience in establishing  technology foundations for agile business…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=4b043a8acf03c9d0&fccid=1074c377135e4e8f&vjs=3
Data Scientist,Awakedata,"Burnaby, BC",,"Experience with big  techniques (Hadoop, MapReduce, Spark).,Develop and implement scalable and efficient modeling algorithms that can work with large-scale…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=70f94647da6ef0b2&fccid=b0a5f2da0fe91db2&vjs=3
Data Scientist,Canada Drives,"Vancouver, BC",,"2+ years experience in applying analytics,  engineering or  science.,Experience in establishing  technology foundations for agile business…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=4b043a8acf03c9d0&fccid=1074c377135e4e8f&vjs=3
Data Scientist,Awakedata,"Burnaby, BC",,"Experience with big  techniques (Hadoop, MapReduce, Spark).,Develop and implement scalable and efficient modeling algorithms that can work with large-scale…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=70f94647da6ef0b2&fccid=b0a5f2da0fe91db2&vjs=3
Machine learning developer - Développeur apprentissage machine,Unity Technologies,"Montréal, QC",,"You understand what it takes to build machine learning products from an engineering, business and   perspective and can spot areas of improvements in…",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3dbd7c5378c3f166&fccid=880e4714f2ad94a8&vjs=3
"Azure Data Engineer, Omnia AI, Calgary",Deloitte,"Calgary, AB",,"Everyday you will work with our clients to solve their toughest problems in  engineering,  acquisition, and  standardization.",28 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c7b1ee491ffd7da5&fccid=9e215d88a6b33622&vjs=3
Data & AI Principal Sales Specialist,Microsoft,"Mississauga, ON",,Experience. 5-7 years’ experience selling business solutions to large/global enterprise customers with a focus on  platform and Analytics & AI technologies…,23 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=75db69d01dce3c8d&fccid=734cb5a01ee60f80&vjs=3
Business Intelligence Analyst,WorkSafeBC,"Richmond, BC",,"Navigate large complex  models.,Turn  into information and information into actionable intelligence that drives an improved decision.",12 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=75b2811b0588096e&fccid=3978229785e77296&vjs=3
artificial intelligence consultant,VISAY TECHNOLOGIES INC,"Edmonton, AB",$42.30 an hour,"Assess physical and technical security risks to , software and hardware.,Confer with clients to identify and document requirements.",17 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c999de5f2b23af72&fccid=70da340778aaf165&vjs=3
Senior Data Scientist - QuantumBlack,McKinsey & Company,"Montréal, QC",,"Experience in applying   methods to commercial problems.,As a  scientist at QuantumBlack, you will work with other  scientists, data…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1ebda2d44bbbd392&fccid=6576e7250aa78c3c&vjs=3
Senior Matchmaking Data Scientist,"Operating Company DEMONWARE (CANADA) , INC.","Vancouver, BC",,"Experience with  visualization, and tools (Kibana, Grafana etc).,Experience designing systems to make high volumes of  useable (using tools like Kafka,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=061cbde4f9a81093&fccid=901c69d4a09566d7&vjs=3
Senior Data Scientist,Digital Extremes,"London, ON",,"Architect, implement, deploy, and maintain   intensive applications.,Conduct ad hoc  analysis based on current team needs and management…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=57e8d3511ae7130b&fccid=67f68c3ebbe2b00d&vjs=3
Senior Data Engineer,Index Exchange,"Montréal, QC",,"Design, implement, and maintain  pipelines for extraction, transformation, and loading of  from a wide variety of  sources to various  services.",22 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6f18572cc24c09ba&fccid=82179ab8760b598c&vjs=3
Entry Level Data Analyst (Bilingual French & English),IQVIA,"Kirkland, QC",,"Provides statistical methodology support in the delivery of good data.,Performs QA procedures and checks to ensure the quality of the data.",12 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f3933921865ea25d&fccid=6b7a1dfe07e7f037&vjs=3
Data Scientist,Just Order Enterprises Corp. (饭团),"Burnaby, BC",,"Data analysis: 2 years (Required).,Have 2+ years of working experience in a  analysis or similar role.,Interpret, evaluate, and interrelate research data…",30+ days ago,Indeed.ca,https://ca.indeed.com/company/Just-Order-Enterprises-Corp./jobs/Data-Scientist-fa1087a3d2114424?fccid=a84a9832ad223c7a&vjs=3
Data Scientist,Softvision - North America,"Vancouver, BC",,"Clear understanding of logical and physical database design and data.,We marry design and engineering language in ways that produce impactful and memorable…",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f1acb1d4e70b14b6&fccid=fdecc94562ee0d71&vjs=3
Applied Research Scientist,Grammarly,"Vancouver, BC",,"Ruthlessly follows the , looking for evidence to disconfirm hypotheses and changing perspectives when that's what the  indicates.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=7302fd68118f09a3&fccid=0555014e7bce64c3&vjs=3
Machine Learning Programmer,ThinkRF Corp,"Ottawa, ON",,"Data  and  engineering of structured and unstructured  as well as imbalanced  structures.,Build analysis tools and simulations to understand…",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=89d62e96f7518185&fccid=8cb77549dbb0e57d&vjs=3
SENIOR DATA SCIENTIST,Temetrix,"Ottawa, ON",,You must have proven leadership skills to grow and foster a highly effective team capable of rapid learning and application.,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=60f3ad282563aa3a&fccid=6b8274f384c00579&vjs=3
Data Scientist,TripStack,"Toronto, ON",,"Help build  pipelines that can handle streaming and batch  at scale.,You will help build  pipelines that can handle streaming and batch  at…",24 days ago,Indeed.ca,https://ca.indeed.com/company/TripStack/jobs/Data-Scientist-1dcd206aaedfaaf9?fccid=dfef13595b564fdf&vjs=3
Data Science Senior Manager,Citi,"Mississauga, ON",,"Manages a team of  scientists and  engineers.,6-10 years experience with defining and implementing   programs.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a9a866decf8d0ef1&fccid=5bcd1ef0a7f4fb99&vjs=3
Spécialiste en Intelligence artificielle (IA),Levio,"Quebec City, QC",,"Traduire les besoins d'affaires en un processus automatisé par un modèle d'apprentissage ;,Spécifier fonctionnellement les composants à développer dans le…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ed8a51207b0be3fd&fccid=32c9262352d9ac8a&vjs=3
Data Scientist,Overbond,"Toronto, ON",,Lead   initiatives to recommend actionable business insights using big  analytics and machine learning techniques.,19 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c7a711b99c7f92d5&fccid=571991c776701fba&vjs=3
Data Scientist - Edmonton AB,Teknobuilt,"Edmonton, AB","$84,052 a year","Minimum 7 years of experience in   and machine learning.,The  Scientists will work closely with the industrial subject matter experts, engineers,…",23 days ago,Indeed.ca,https://ca.indeed.com/company/Teknobuilt/jobs/Data-Scientist-e10972e78398f15d?fccid=c1571ac8b1da48c8&vjs=3
SPÉCIALISTE EN INTELLIGENCE ARTIFICIELLE,Machinex,"Princeville, QC",,"ExigencesBAC en mathématique, en  appliqué ou en physique;3 ans et plus d’expérience;Connaissance d’un ou plusieurs champs d’application : Deep Learning,…",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c3d7caf3dab4ca31&fccid=ce3263f444874f99&vjs=3
Data scientist,Exagens,"Montréal, QC",,"Experience in  preprocessing, cleansing.,Permanent, full time or part time.,Research and create AI/ML models and processes to achieve the goals set by the…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d253dac07edbc78e&fccid=b07de2d6fe148130&vjs=3
Director of Analytics,Bill Gosling Outsourcing,"Newmarket, ON",,"Manage our  warehouse strategy and strategic alignment of all platforms and  sources.,Manage all  analytics processes and personnel.",4 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6643375d96afb2d3&fccid=d895e1974d0eba54&vjs=3
Senior Data Scientist,MindGeek Careers,"Montréal, QC",,"Load and clean the data.,Strong knowledge of   algorithms and their limitations (execution speed, memory considerations, etc).",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0da7d8c803e75f53&fccid=6f250882b448d8bc&vjs=3
"Research Intern, Artificial Intelligence",Facebook,"Montréal, QC",,"Avec plus d'un milliard de personnes utilisant le service et plus de cinquante bureaux à travers le monde, une carrière chez Facebook offre d'innombrables…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=948de14b92b379b1&fccid=1639254ea84748b5&vjs=3
Full Stack Lead (Machine Learning) ID388,AU-ZONE TECHNOLOGIES INC.,"Calgary, AB",,"Full Stack Software architecture, design, and implementation of graphical and command line tools.,Architecture of our next generation machine learning desktop…",4 days ago,Indeed.ca,https://ca.indeed.com/company/Au--Zone-Technologies/jobs/Full-Stack-Lead-5eda962f89f56230?fccid=d6a8b5028ae46030&vjs=3
Junior NLP Data Researcher,Exiger,"Toronto, ON",,"1-2 years of  science/development experience or equivalent education in these fields.,We make use of big  and natural language processing technologies…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d4c48bdb09093b02&fccid=b7a753ea1f841879&vjs=3
Data Scientist - Lodging Team,Hopper,"Montréal, QC",,"Use machine learning and big  tools on large and complex  sets to enhance our data-driven, personalized travel advice.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=934295737da48042&fccid=71eb96af97fae7e9&vjs=3
Data Scientist,Symend,"Calgary, AB",,"Analyze large amounts of structured and unstructured  using scientific methods and algorithms.,Develop insights and improve business performance in impact…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=89777b8f16ec8e6e&fccid=d3ddd050cebd400b&vjs=3
Machine Learning Developer,TerraSense Analytics Ltd,"Kelowna, BC",,"Excellent knowledge of C++ & Python (GUI development a plus).,2 years of experience in building and shipping great software.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a736a144003adc32&fccid=22525f9b1679f14f&vjs=3
AI and Machine Learning NN Compiler Expert,Synopsys,"Kanata, ON",,"And get differentiated products to market quickly with reduced risk.,We are a leading-edge R&D team developing an advanced Embedded Vision Processor (EVP)…",10 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=43af7ee63b87695f&fccid=6ce9eba87609c3e9&vjs=3
Data Scientist,Lightspark,"Vancouver, BC",,"Experience with common   toolkits, such as Python, Weka, NumPy, MatLab, R, etc.,Enhancing  collection procedures to include information that is…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1d9e179320a6422a&fccid=06926f09c00964a3&vjs=3
Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,"Montréal, QC",,"Strong software engineering fundamentals, including coding, problem solving and  analysis skills.,You would be working with truly big  by training and…",18 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=03827e5c34597087&fccid=734cb5a01ee60f80&vjs=3
Manager Analytics Reporting,HollandGroupFinancial,"Toronto, ON","$90,000 - $110,000 a year","Development and implementation for  integration solutions using SQL, SAS and other  management software.,Financial Analysis: 5 years (Required).",4 days ago,Indeed.ca,https://ca.indeed.com/company/HollandGroupFinancial/jobs/Manager-Analytic-Reporting-0dc067fd6f6dd8f1?fccid=c55d52082bbb4cfe&vjs=3
DevOps / DataOps (Big Data),agileDSS,"Montréal, QC",,"Depuis 15 ans, nous accompagnons les grandes entreprises québécoises à tirer le meilleur parti de leurs données par le biais d’une expertise de pointe en…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=8e933aeb6e29d654&fccid=b9c61d63cdbdfebf&vjs=3
Senior Data Scientist,SOTI Inc.,"Mississauga, ON",,"Graduate degree in computer , software engineering,  , statistics, or equivalent industry experience.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a4d6772c4f83d01f&fccid=3d38508546395f15&vjs=3
"Senior Analyst, Campaign Analytics & Insights",TD Bank,"Toronto, ON",,Knowledge of how campaigns are created by leveraging customer  from internal  warehouses through the use of programming tools such as Unica and SAS.,3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1579c92fcd8b5095&fccid=d7114f1cac8d0711&vjs=3
"Associate Educator, Data Scientist",BrainStation,"Vancouver, BC",,"Actively work on writing and researching new content to teach the most up to date skills in   to our students.,Experience building and leading teams.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=72d6b5d01018ad65&fccid=163ccc336a959b8b&vjs=3
STATISTICAL ANALYST,Leger,"Montréal, QC",,Support the  migration process through  quality assurance and effective communication between different departments.,17 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e3f61234bd0cc021&fccid=d0e92c680a010639&vjs=3
"Senior Developer, Analytics and Machine Learning",Global Relay,"Vancouver, BC",,"Experience with design patterns,  structures, algorithms.,As a Senior Developer in the Analytics group you will be building and deploying machine learning…",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bafe62782602fad1&fccid=0d3fa1b8c4aea5ad&vjs=3
Data Scientist - QuantumBlack,McKinsey & Company,"Montréal, QC",,"Develop   products and solutions for clients as well as for our   team.,Work within one of the largest and most advanced  science…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=4e5400548e04841b&fccid=6576e7250aa78c3c&vjs=3
Computer Vision XR Intern,eyful,"Montréal, QC",$17 - $25 an hour,"Nous cherchons quelqu'un de curieux, intéressé ou passionné de travailler dans le domaine des technologies médicales (MedTech) et prêt à apprendre.",27 days ago,Indeed.ca,https://ca.indeed.com/company/eyful/jobs/Computer-Vision-Xr-Intern-216b712197acaaf9?fccid=dac31188f4e7ffe1&vjs=3
Backend Developer: AI Platform,Keatext,"Montréal, QC",,"B.Sc. in computer  or equivalent working experience.,So far, our clients have successfully processed millions of comments, boosting customer satisfaction…",17 days ago,Indeed.ca,https://ca.indeed.com/company/Keatext/jobs/Backend-Developer-3a77ae0a203b9987?fccid=914a4f0129d363e7&vjs=3
"Senior Analyst, Data & Analytics",RPS Real Property Solutions Limited,"Toronto, ON","$65,000 - $85,000 a year","Enhance and implement  process for delivery for downstream analytical  modeling,  products, reporting, and measurement.",12 days ago,Indeed.ca,https://ca.indeed.com/company/RPS-Real-Property-Solutions-Inc./jobs/Senior-Analyst-79f8c03077597c76?fccid=2e4c285dd0d2a163&vjs=3
"Senior Consultant / Manager, Microsoft Data and Analytics",KPMG,"Montréal, QC",,"Lead client analytics projects and oversee  ingestion, validation, mining, and engineering work streams, as well as modeling, visualization, and client…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=67473c3f937d5ec3&fccid=2dd390c3a48a7ed0&vjs=3
"Deep Learning Engineering Intern, Content & Technology - Winter 2021",NVIDIA,Canada,,"You will apply deep learning techniques to the simulation of virtual environments, developing methods to generate synthetic  for training neural networks to…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=032af84287ba33c0&fccid=c267f29f0f85e8b8&vjs=3
"Analyst, Operational Performance Analytics",Concentrix,Remote,,"Conducts planning,  collection,  cleansing and  linkage in preparation for analysis.,Envisions use of and coordinates with   professional…",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5155681331fb54e8&fccid=773041d0d31c442a&vjs=3
Statistical Programmer 2,PRA Health ,Remote,,"Liaises with other departments to properly implement  models (e.g. SDTM/ADaM).,Demonstrates a good understanding of conversion and analysis  structure…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ff62980df6471310&fccid=59237124d676ae4d&vjs=3
Cloud Computing - Artificial Intelligence Instructor,"Cestar College of Business, Health & Technology","Toronto, ON",,Cestar College is currently seeking instructors to teach in the Cloud Computing for Big  program for Lambton College in Toronto.,9 days ago,Indeed.ca,"https://ca.indeed.com/company/Cestar-College-of-Business,-Health-and-Technology/jobs/Cloud-Computing-4145050be2c190ed?fccid=6548244c349e0570&vjs=3"
I'd love to work at Chisel AI!,Chisel AI,"Toronto, ON",,The advantages we have in solving a critical problem for commercial insurance include access to enormous amounts of  and a stable sector that can afford to…,20 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e28b7b81b4591e3f&fccid=39c5bcd67a77bd4e&vjs=3
Analytics Design and Delivery Leader,Suncor Energy Services,"Calgary, AB",,"An understanding of team-based   accelerator processes such as versioning, build pipelines etc.,Experience with  preparation and analysis (e.g.…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=cafe2ae1b6b7c363&fccid=e16ce774384b4169&vjs=3
"Senior Data Scientist, Machine Learning",Coursera,"Toronto, ON",,Distill insights from complex  and/or  product results; communicate findings clearly to both technical and non-technical audiences.,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=05063150a50331da&fccid=ef63980be6005ec6&vjs=3
"DevOps AI, Intact Lab",Intact,"Montréal, QC",,"A bachelor’s degree in computer , software engineering or equivalent experience.,You are passionate about artificial intelligence, able to interact with…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=383793c5259d40e6&fccid=be7195d2ebb48351&vjs=3
HR Data Analyst,Behavox,"Montréal, QC",,"Expert knowledge of  ETL,  modeling, statistical analysis and predictive modeling.,You'll run, verify, and dispatch scheduled reports this may involve…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0472728d343ba0b8&fccid=131bed7b726f4d12&vjs=3
"Stagiaire, Scientifique de données",American Iron and Metal,"Montréal, QC",,Apprendre et appliquer différents modèles de l’intelligence d'affaires et de la  des données afin que l'algorithme soit correctement traduit en le code…,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=11844efe0c0616b9&fccid=b444d75eb84efc9c&vjs=3
Data Engineer / Data Analyst,agileDSS,"Montréal, QC",,"Depuis 15 ans, nous accompagnons les grandes entreprises québécoises à tirer le meilleur parti de leurs données par le biais d’une expertise de pointe en…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3556960635474539&fccid=b9c61d63cdbdfebf&vjs=3
"Intern, Data Scientist",QuadReal,"Toronto, ON",,"Present information using  visualization techniques.,Identify valuable  sources and automate collection processes.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=eefa70bfa123e2a3&fccid=4c0dd9bbeab79d21&vjs=3
Software Engineer - Machine Learning (Remote),Yelp,Remote,,"Experience with  ETL and  analysis packages and workflows (SQL, MapReduce, Spark, etc.).,Lead the development of machine learned models for offline,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9e207f7fba1c1a4a&fccid=0e94073a1c937bd1&vjs=3
Big Data Technical Consultant,EPAM Systems,"Toronto, ON",,"Cloud  platforms, BI,  warehousing,  lakes.,Act as a  advocate and work to remove business, technical and political roadblocks.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=41b429065c5a899c&fccid=532afac41b2663f7&vjs=3
Data Scientist,Praemo,"Kitchener, ON",,"Utilizing an organization’s operational and IoT (Internet of Things)  as-is, where-is, and applying AI (artificial intelligence) tools like ML (Machine…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=320c561128662852&fccid=3d194d64d5bd0b2f&vjs=3
Quantitative Strategist - eRates 3160422,Morgan Stanley,"Montréal, QC",,"The Fixed Income Division is comprised of Interest Rate and Currency Products, Credit Products and Distribution.,At least 3 years of experience;",23 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=68a711f99f51ebea&fccid=0c39fb2c91742dcf&vjs=3
"SAP - Data & AI Specialist, Omnia AI",Deloitte,"Toronto, ON",,"You will play an active role throughout the entire engagement cycle, specializing in modern SAP data-driven applications including building  ingestion/data…",11 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3b464d85aafc3330&fccid=9e215d88a6b33622&vjs=3
Data Scientist,ASSURANCE,"Toronto, ON",,"Bachelors degree in mathematics, statistics,   or related field of study.,Experience and working knowledge of  infrastructure, pipelines, and…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3
"Customer Data Architect, Omnia AI",Deloitte,"Toronto, ON",,"You will play an active role throughout the entire engagement cycle, specializing in modern customer  solutions including  ingestion/data pipeline…",28 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1d7f672331bd9fec&fccid=9e215d88a6b33622&vjs=3
Data Scientist,Parkland Corporation,"Calgary, AB",,"Leverage statistical and   methodologies to build, test, and deploy predictive models and/or machine learning algorithms on large static and/or…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=002c1e1791e27209&fccid=a93ac8ac5827e01f&vjs=3
"Senior Director - Data, BI & Analytics",Lightspeed POS,"Montréal, QC",,"Experience with most  governance aspects and master  management.,Implement  privacy policies and ensure compliance with  protection regulations.",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0106e96cf49feddb&fccid=d7b4244b532e625b&vjs=3
Data Scientist/Time Series,Scarsin,"Markham, ON",,"Experience with  preprocessing, anomaly/outlier detection.,You will be interacting with multi-function teams, including  integration, model development…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e97e7d4b249d30c2&fccid=ca1eb7a6353c159a&vjs=3
Data Scientist,NorthOne,"Toronto, ON",,"You love using SQL and Python to answer business questions and analyze data.,6 years at McKinsey working on digital customer experience in financial services.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0f973ec62ae8486f&fccid=dca2e344433f10ee&vjs=3
Senior Data Scientist,SevOne,Remote,,"Analytics / Machine learning /   algorithms.,Duties can vary from various areas regarding deployment software advancements that focus on the high…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=cdd6067644643092&fccid=303e5d588c71c1b8&vjs=3
Senior Data Scientist,BC IMC,"Victoria, BC",,"It also provides reporting, insights and   capabilities to its customers.,Designs, develops and conducts   experiments and communicates…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9dc4587b8071d6e1&fccid=879f4295fa640f4b&vjs=3
Machine Learning Engineer,Aviva,"Markham, ON",,You understand the relationship between  and business outcomes and can focus on long term strategies for data.,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=715d74e9a491e5e0&fccid=354f4c12e3c6bd5a&vjs=3
Intelligence artificielle pour le jeu vidéo,Université du Québec à Chicoutimi,Canada,,,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a26f4be17822e9dc&fccid=51d6192abd12d201&vjs=3
